text,intent
"전적 조회는 어떻게 하나요?","상단 검색창에 소환사명과 지역을 입력하면 프로필과 최근 전적이 바로 표시됩니다. 검색 직후 최신 데이터로 자동 동기화돼요."
"검색 시 서버(지역)는 어디서 바꾸나요?","검색창 왼쪽의 Region 선택 드롭다운에서 KR/NA/EUW 등 원하는 지역을 선택하세요. 동일 닉네임이라도 지역이 다르면 다른 계정입니다."
"닉네임에 공백이나 대문자가 있어도 검색되나요?","네. 대소문자와 불필요한 공백은 자동 정규화합니다. 정확히 안 뜨면 서버와 철자 전체를 확인해 주세요."
"최근 전적은 몇 경기까지 보이나요?","기본 20경기, 더보기 클릭 시 최대 100경기까지 로드됩니다. 기간/큐 타입 필터도 지원해요."
"전적 상세에서 무엇을 볼 수 있나요?","승패, KDA, 라인, CS/분, 골드, 룬/스펠, 아이템 타임라인, 시야/오브젝트 지표, 하이라이트 이벤트를 제공합니다."
"아이템 빌드는 어디서 확인해요?","경기 카드의 상세 보기에서 시작 아이템, 핵심 빌드, 상황별 대체 빌드와 구매/판매 로그를 볼 수 있어요."
"룬 추천은 지원하나요?","최근 메타와 상성 데이터를 반영한 추천 룬 페이지가 있으며, 선호 플레이스타일(안정/공격)을 토글할 수 있습니다."
"챔피언 카운터를 알고 싶어요","챔피언 페이지의 상성 탭에서 라인별 유불리 매치업과 추천 전략, 금밴/픽률을 확인할 수 있습니다."
"라이브 게임(현황)은 볼 수 있나요?","검색 결과 상단의 라이브 탭에서 현재 진행 중인 경기의 팀 조합, 티어, 승률 예측을 제공합니다(공식 API 가용 시)."
"패치 반영 시점은 언제인가요?","패치 노트 공개 후 24시간 내 핵심 지표와 빌드 추천을 업데이트합니다. 일부 통계는 데이터 수집량에 따라 순차 반영됩니다."
"MMR 같은 지표를 제공하나요?","비공식 추정 지표(가중 Elo)를 참고용으로 제공합니다. 공식 MMR과는 다를 수 있어요."
"티어/랭크 정보는 실시간인가요?","Riot API의 갱신 주기에 맞춰 동기화됩니다. 간헐적 지연이 있을 수 있습니다."
"라인별 통계를 보고 싶어요","프로필 > 통계 탭에서 라인/챔피언/기간별 KDA, 딜량, 시야, 승률 추세를 차트로 볼 수 있어요."
"친구와 내 전적을 비교하려면?","프로필의 비교 탭에서 두 소환사명을 입력하면 최근 N경기 주요 지표를 나란히 비교해 줍니다."
"팀 전적 기능이 있나요?","팀을 생성해 멤버 전적을 집계하고 픽/밴 트렌드, 팀 시너지 지표를 확인할 수 있습니다."
"밴픽 시뮬레이터가 있나요?","커뮤니티 도구 > 밴픽 시뮬레이터에서 패치별 추천 밴/픽과 카운터를 테스트해 보세요."
"챔피언 추천은 어떤 기준인가요?","선호 포지션, 최근 성과, 상대 조합/밴을 종합해 추천합니다. 안정/공격 성향 옵션을 지원합니다."
"하이라이트 자동 생성은 무엇인가요?","멀티킬/오브젝트/대규모 교전 등 핵심 이벤트를 탐지해 TL;DR 하이라이트를 생성합니다."
"전적 동기화가 안 될 때는?","새로고침을 누르고 1~3분 기다려 보세요. 지속되면 서버/닉네임 확인, API 상태 점검 후 고객센터로 문의해 주세요."
"검색이 자꾸 실패해요","일시적 레이트 리밋일 수 있습니다. 잠시 후 재시도하거나, 로그인 후 계정 연동을 통해 우선 동기화를 활용해 보세요."
"계정 연동은 필수인가요?","검색만은 비연동으로 가능하지만, 연동 시 자동 동기화와 개인화 추천, 푸시 알림을 사용할 수 있어요."
"계정 연동은 안전한가요?","OAuth 기반으로 토큰만 저장하며, 비밀번호는 보관하지 않습니다. 토큰은 암호화되어 저장돼요."
"알림(푸시/메일)은 어떻게 설정하죠?","프로필 > 알림 설정에서 랭크 변동, 라이브 매치 시작, 즐겨찾기 챔피언 패치 변경 등 항목을 선택하세요."
"다크 모드는 있나요?","우측 상단 테마 토글로 라이트/다크를 전환할 수 있습니다. 시스템 설정과 연동 옵션도 있어요."
"언어 변경은 어디서 하나요?","푸터 또는 프로필 설정의 언어 메뉴에서 변경할 수 있습니다. 일부 문구는 순차 번역됩니다."
"커뮤니티 인기글은 어떻게 선정돼요?","추천 수, 댓글 반응, 최신성 가중치를 조합해 노출합니다. 운영 정책 위반은 자동/수동 필터링됩니다."
"게시물 신고는 어떻게 하나요?","게시물 카드 우측 상단의 신고 버튼에서 사유를 선택해 제출하면 검토 후 조치합니다."
"이미지/동영상 업로드 제한은?","이미지는 최대 5MB(jpg/png/gif), 동영상은 링크 임베드(유튜브 등)만 지원합니다."
"닉네임을 플랫폼에서만 바꾸고 싶어요","프로필 설정의 표시명 변경으로 가능합니다. Riot 계정 닉변은 Riot 클라이언트에서 진행하세요."
"계정 탈퇴 시 데이터는?","법적 의무 데이터를 제외한 개인정보는 삭제 또는 비식별화합니다. 자세한 내용은 개인정보 처리방침을 확인해 주세요."
"데이터는 어디서 수집하나요?","주로 Riot 공식 API에서 수집하며, 일부 통계는 파트너 공개 데이터로 보완합니다. 출처는 전적 상세에 표기됩니다."
"내 전적을 CSV로 받으려면?","프로필 > 데이터 내보내기에서 기간과 큐 타입을 선택해 CSV로 다운로드할 수 있어요."
"휴면 계정 정책은 무엇인가요?","6개월 이상 미접속 시 휴면 전환되며, 재로그인 시 즉시 해제됩니다. 장기 미접속은 추가 안내 후 삭제될 수 있어요."
"비밀번호를 잊었어요","로그인 화면의 비밀번호 재설정에서 이메일 인증을 진행하세요. 연동 계정은 Riot 인증으로 복구합니다."
"2단계 인증을 켤 수 있나요?","네. 계정 보안에서 이메일 또는 인증 앱 기반 2FA를 활성화할 수 있습니다."
"서비스 약관은 어디서 확인하죠?","푸터와 프로필 설정의 약관/개인정보 메뉴에서 전체 문서를 확인할 수 있어요."
"라이엇에서 닉네임이 바뀌었어요","다음 동기화 시 자동 반영됩니다. 즉시 반영하려면 프로필에서 수동 새로고침을 눌러 주세요."
"동명이인 계정이 여러 개 떠요","프로필 아이콘, 레벨, 최근 플레이 서버를 확인해 본인 계정을 선택해 주세요."
"챗봇이 무엇을 도와줄 수 있나요?","전적 검색, 빌드/룬 추천, 패치 요약, 오류 해결 가이드, 커뮤니티 규칙 안내 등 빠른 답변을 제공합니다."
"챗봇이 정보를 어디서 가져오나요?","플랫폼 내 문서와 전적 데이터 요약, 공지/가이드 문서를 학습한 로컬 지식을 활용합니다."
"개인화 추천은 어떻게 작동하나요?","최근 경기와 선호 포지션, 승률 추세를 분석해 챔피언/룬/아이템을 추천합니다. 설정에서 비활성화할 수 있습니다."
"내가 한 설정(테마/언어)이 저장되나요?","브라우저 로컬스토리지와 계정 설정에 저장되어 기기 간 동기화됩니다(로그인 상태 기준)."
"오래된 전적은 모두 보존되나요?","표시 목적상 최근 N경기 중심으로 로드하며, 더 오래된 기록은 요청 시 배치로 불러옵니다. 일부 구버전 매치는 메타데이터가 제한될 수 있어요."
"라이브 승률 예측은 정확한가요?","구성 챔피언 승률, 라인상성, 최근 폼을 고려한 통계 모델이며 참고용입니다. 인게임 변수로 실제 결과와 다를 수 있어요."
"치트/비인가 툴과 연동되나요?","아니요. 공식 API와 클린 데이터만 사용합니다. 비인가 클라이언트 연동은 금지됩니다."
"오류 코드 429가 떠요","API 호출 제한입니다. 1~2분 후 재시도하거나 요청 빈도를 줄여 주세요. 빈번하면 문의해 주세요."
"오류 코드 404가 떠요","계정을 찾을 수 없습니다. 서버/닉네임 철자와 최근 닉변 여부를 확인해 주세요."
"오류 코드 500이 떠요","일시적 서버 오류입니다. 새로고침 후에도 지속되면 고객센터로 제보해 주세요."
"프로필 배지는 어떻게 얻나요?","플레이 횟수, 승률 달성, 커뮤니티 기여 등 특정 조건을 달성하면 자동으로 지급됩니다."
"커뮤니티 규칙 핵심만 알려줘요","욕설/혐오/사칭/개인정보 공유 금지, 스포일러 표시, 무단 광고 금지입니다. 위반 시 제재됩니다."
"관리자/모더 지원은 어디서 하나요?","공지의 모더 모집 안내에 따라 지원서를 제출하면 심사 후 선정합니다."
"이미지 검열 기준이 있나요?","저작권 위반/개인정보 노출/선정적 콘텐츠는 제한되며 신고 시 즉시 검토합니다."
"이메일 알림이 너무 많아요","알림 설정에서 항목별 빈도(즉시/일괄/끔)를 조정할 수 있습니다."
"내 데이터 삭제를 요청하고 싶어요","프로필 > 데이터 삭제 요청에서 절차를 진행하세요. 처리 결과는 메일로 안내합니다."
"앱이 느려요. 무엇을 확인하죠?","브라우저 캐시 삭제, 확장 프로그램 비활성화, 네트워크 상태 확인 후 다시 시도해 주세요. 지속 시 피드백을 남겨 주세요."
"모바일에서도 잘 보이나요?","반응형 UI로 모바일/태블릿을 지원합니다. 일부 고급 차트는 축약 표시될 수 있어요."
"로그인 없이도 사용할 수 있나요?","기본 검색은 가능합니다. 개인화/알림/팀 기능은 로그인 후 이용해 주세요."
"개발자용 API가 있나요?","읽기 전용 공개 API를 제공합니다. 개발자 포털에서 키를 발급받고 레이트 리밋 정책을 확인하세요."
"레이트 리밋 정책은?","무료는 분당 호출 제한이 있으며 상업적 이용은 별도 플랜 협의가 필요합니다."
"내가 올린 글을 수정/삭제하고 싶어요","게시물 상세의 더보기 메뉴에서 수정/삭제가 가능합니다. 제한 사유가 있으면 안내됩니다."
"토너먼트는 어떻게 참여하나요?","커뮤니티 > 토너먼트에서 대회를 선택해 참가 신청하고, 브래킷과 일정은 대회 페이지에서 확인하세요."
"초대 코드로 비공개 방 입장할 수 있나요?","네. 방 > 초대 코드 입력으로 입장할 수 있습니다. 방장은 코드 재발급이 가능해요."
"푸시가 안 와요","브라우저 권한을 허용하고, 알림 토글과 개별 항목이 켜져 있는지 확인하세요. iOS 사파리는 OS 제한이 있을 수 있어요."
"보안은 어떻게 관리하나요?","전송 구간은 TLS로 암호화되며, 민감 정보는 최소화/암호화 저장합니다. 접근은 권한 기반으로 통제됩니다."
"로그아웃은 어디서 하나요?","프로필 아바타 > 로그아웃을 클릭하면 즉시 해제됩니다. 공용 PC에서는 반드시 로그아웃하세요."
"캐시 강제 새로고침은?","Windows: Ctrl+F5, macOS: Cmd+Shift+R로 강제 새로고침할 수 있어요."
"문의/피드백 채널은 어디인가요?","고객센터 > 피드백에서 버그/개선 제안을 남길 수 있습니다. 빠르게 검토해 반영해요."
"서비스 점검 중인가요?","상단 배너 또는 상태 페이지에서 API/서버 점검 일정을 확인할 수 있습니다."
"데이터가 실제 플레이와 달라요","API 반영 지연 또는 비공식 매치 데이터일 수 있습니다. 경기 ID와 함께 제보해 주세요."
"광고가 보이면 어떻게 하나요?","로그인 유저에게는 대부분 숨겨집니다. 이상 광고나 사기가 보이면 신고해 주세요."
"계정 공유/거래는 가능한가요?","금지됩니다. 관련 게시물은 즉시 제재 대상입니다."
"챔피언 필터는 어떻게 쓰나요?","챔피언/포지션/패치/큐 타입 필터를 조합해 원하는 데이터만 볼 수 있어요."
"아이템 시뮬레이터는 있나요?","실험실 탭에서 상황별 아이템 효율과 파워 스파이크를 확인할 수 있습니다."
"룬 페이지를 내보낼 수 있나요?","추천 룬을 클립보드로 복사하거나 JSON/코드 형태로 내보낼 수 있습니다(클라이언트 수동 적용)."
"웹훅 통합이 가능한가요?","팀/토너먼트 알림을 Discord 웹훅으로 연동하는 옵션을 제공합니다."
"검색 기록을 지우고 싶어요","프로필 > 개인정보 > 기록 삭제에서 최근 검색 기록을 비울 수 있습니다."
"차단/뮤트 기능이 있나요?","커뮤니티에서 유저 차단/단어 뮤트를 지원합니다. 설정에서 관리하세요."
"계정이 정지되었어요. 이의 제기는?","고객센터의 이의신청 양식에 근거 자료를 첨부해 제출하세요. 결과는 메일로 안내됩니다."
"쿠키는 무엇을 저장하나요?","세션, 테마, 언어, 분석용 익명 식별자만 저장합니다. 상세는 쿠키 정책을 확인해 주세요."
"다른 플랫폼(OP.GG 등)과 무엇이 다른가요?","라이브 하이라이트, 팀 협업 도구, 개인화 추천과 커뮤니티 통합을 한 곳에서 제공합니다."
"프로 계정(스트리머/코치) 기능이 있나요?","프로필에 방송 연동, 스폰서 링크, 코칭 스케줄 공개 기능을 제공할 예정입니다."
"릴리즈 노트는 어디서 보나요?","공지 > 업데이트 노트에서 최근 변경점과 버그 수정 내역을 확인하세요."
"베타 기능을 사용해 보고 싶어요","설정 > 실험실에서 베타 플래그를 켜고 피드백을 제공해 주세요."
"문의 메일 주소는?","파트너십/사업: partnership@example.com, 일반 문의: support@example.com (예시)"
